index, V1, N1, N2, N3, N4, N5, N6, N7, N8, V1, E1, E2, E3, E4, E5, E6, E7, E8, V1, S1, S2, S3, S4, S5, S6, S7, S8, V1, W1, W2, W3, W4, W5, W6, W7, W8, V1, C1, C2, C3, C4, C5, C6, C7, C8
0, -0.96062994, 7, 1, 2, 1, 1, 1, 4, 4, -0.96062994, 4, 1, 8, 11, 10, 2, 4, 1, -0.96850395, 1, 1, 36, 1, 1, 29, 1, 1, -0.96062994, 7, 1, 8, 1, 1, 1, 2, 1, -0.96850395, 1, 1, 36, 1, 1, 29, 1, 1
1, -0.9527559, 9, 3, 4, 5, 1, 3, 3, 5, -0.9527559, 5, 1, 25, 2, 2, 7, 5, 5, -0.96062994, 11, 9, 6, 5, 5, 4, 9, 5, -0.9527559, 9, 3, 3, 10, 13, 6, 3, 11, -0.96062994, 11, 9, 6, 5, 5, 4, 9, 5
2, -0.9448819, 38, 9, 4, 4, 2, 3, 4, 13, -0.9448819, 13, 12, 29, 25, 8, 7, 9, 6, -0.9527559, 7, 1, 4, 2, 4, 2, 1, 6, -0.9448819, 38, 1, 8, 1, 7, 3, 11, 7, -0.9527559, 7, 1, 4, 2, 4, 2, 1, 6
3, -0.93700784, 61, 71, 21, 23, 3, 27, 9, 57, -0.93700784, 57, 70, 23, 27, 22, 29, 26, 27, -0.9448819, 18, 7, 11, 9, 33, 24, 12, 27, -0.93700784, 61, 10, 26, 7, 24, 26, 73, 18, -0.9448819, 18, 7, 11, 9, 33, 24, 12, 27
4, -0.92913383, 44, 15, 52, 30, 30, 27, 28, 13, -0.92913383, 13, 14, 27, 17, 33, 29, 10, 62, -0.93700784, 69, 25, 23, 25, 55, 40, 66, 62, -0.92913383, 44, 25, 25, 26, 39, 32, 11, 69, -0.93700784, 69, 25, 23, 25, 55, 40, 66, 62
5, -0.9212598, 42, 16, 15, 13, 36, 32, 14, 37, -0.9212598, 37, 31, 105, 22, 33, 29, 16, 72, -0.92913383, 27, 9, 21, 23, 4, 11, 10, 72, -0.9212598, 42, 14, 37, 37, 15, 12, 20, 27, -0.92913383, 27, 9, 21, 23, 4, 11, 10, 72
6, -0.9133858, 191, 98, 25, 17, 39, 71, 12, 72, -0.9133858, 72, 84, 18, 102, 94, 49, 106, 10, -0.9212598, 25, 23, 21, 33, 12, 23, 24, 10, -0.9133858, 191, 28, 82, 46, 16, 29, 235, 25, -0.9212598, 25, 23, 21, 33, 12, 23, 24, 10
7, -0.9055118, 12, 55, 103, 75, 93, 32, 202, 9, -0.9055118, 9, 13, 36, 55, 12, 11, 71, 194, -0.9133858, 86, 58, 53, 23, 82, 71, 58, 194, -0.9055118, 12, 87, 25, 58, 184, 116, 37, 86, -0.9133858, 86, 58, 53, 23, 82, 71, 58, 194
8, -0.8976378, 81, 62, 31, 41, 34, 48, 22, 47, -0.8976378, 47, 14, 90, 41, 48, 45, 55, 9, -0.9055118, 10, 11, 24, 40, 31, 27, 34, 9, -0.8976378, 81, 36, 32, 30, 55, 64, 28, 10, -0.9055118, 10, 11, 24, 40, 31, 27, 34, 9
9, -0.8897638, 74, 69, 26, 47, 64, 98, 47, 66, -0.8897638, 66, 90, 289, 80, 92, 97, 65, 31, -0.8976378, 18, 38, 43, 45, 70, 49, 67, 31, -0.8897638, 74, 55, 68, 47, 75, 50, 71, 18, -0.8976378, 18, 38, 43, 45, 70, 49, 67, 31
10, -0.88188976, 338, 296, 91, 109, 123, 303, 89, 324, -0.88188976, 324, 284, 231, 300, 267, 277, 284, 73, -0.8897638, 44, 58, 73, 150, 117, 78, 77, 73, -0.88188976, 338, 103, 308, 93, 142, 148, 310, 44, -0.8897638, 44, 58, 73, 150, 117, 78, 77, 73
11, -0.87401575, 169, 187, 291, 397, 434, 224, 311, 193, -0.87401575, 193, 231, 1196, 308, 248, 198, 228, 317, -0.88188976, 325, 315, 295, 411, 453, 304, 289, 317, -0.87401575, 169, 305, 188, 280, 286, 283, 196, 325, -0.88188976, 325, 315, 295, 411, 453, 304, 289, 317
12, -0.86614174, 1236, 1238, 246, 243, 248, 1254, 182, 1204, -0.86614174, 1204, 1186, 361, 1157, 1189, 1259, 1218, 225, -0.87401575, 173, 199, 182, 211, 232, 196, 189, 225, -0.86614174, 1236, 171, 1208, 226, 220, 169, 1243, 173, -0.87401575, 173, 199, 182, 211, 232, 196, 189, 225
13, -0.8582677, 327, 196, 1262, 1198, 1206, 331, 1220, 194, -0.8582677, 194, 184, 977, 239, 251, 349, 261, 1241, -0.86614174, 1229, 1254, 1303, 1237, 1239, 1323, 1312, 1241, -0.8582677, 327, 1210, 384, 1221, 1225, 1270, 222, 1229, -0.86614174, 1229, 1254, 1303, 1237, 1239, 1323, 1312, 1241
14, -0.8503937, 815, 978, 295, 225, 236, 1036, 323, 796, -0.8503937, 796, 932, 2608, 1094, 959, 907, 845, 219, -0.8582677, 183, 257, 373, 204, 230, 316, 256, 219, -0.8503937, 815, 222, 975, 232, 304, 338, 846, 183, -0.8582677, 183, 257, 373, 204, 230, 316, 256, 219
15, -0.8425197, 3034, 2707, 1040, 1082, 1148, 2816, 935, 2463, -0.8425197, 2463, 2323, 1875, 2769, 2476, 2540, 2403, 861, -0.8503937, 852, 916, 1080, 1118, 1211, 1089, 981, 861, -0.8425197, 3034, 904, 2725, 1067, 986, 931, 2436, 852, -0.8503937, 852, 916, 1080, 1118, 1211, 1089, 981, 861
16, -0.8346457, 1541, 1672, 2822, 2738, 2831, 1651, 2710, 1921, -0.8346457, 1921, 2045, 1765, 1684, 1933, 2033, 1913, 2795, -0.8425197, 2764, 2263, 2264, 2610, 2635, 2402, 2196, 2795, -0.8346457, 1541, 2477, 1851, 2969, 2657, 2713, 1882, 2764, -0.8425197, 2764, 2263, 2264, 2610, 2635, 2402, 2196, 2795
17, -0.8267717, 1903, 1782, 1587, 1830, 1654, 1853, 1631, 1975, -0.8267717, 1975, 1818, 873, 1897, 1966, 1799, 1626, 1752, -0.8346457, 1749, 1873, 2033, 1957, 1812, 1842, 1994, 1752, -0.8267717, 1903, 1934, 1694, 1475, 1701, 1877, 1782, 1749, -0.8346457, 1749, 1873, 2033, 1957, 1812, 1842, 1994, 1752
18, -0.81889766, 789, 838, 1925, 1916, 1883, 945, 1955, 775, -0.81889766, 775, 849, 821, 822, 913, 791, 842, 1736, -0.8267717, 1831, 1878, 1952, 1736, 1805, 2006, 1752, 1736, -0.81889766, 789, 1852, 882, 1831, 1924, 1788, 768, 1831, -0.8267717, 1831, 1878, 1952, 1736, 1805, 2006, 1752, 1736
19, -0.8110236, 880, 874, 741, 908, 871, 785, 904, 880, -0.8110236, 880, 944, 1833, 907, 896, 770, 752, 726, -0.81889766, 695, 787, 770, 869, 922, 933, 893, 726, -0.8110236, 880, 786, 896, 962, 857, 758, 919, 695, -0.81889766, 695, 787, 770, 869, 922, 933, 893, 726
20, -0.8031496, 1975, 1937, 812, 909, 815, 1693, 914, 1877, -0.8031496, 1877, 1863, 920, 1847, 1692, 1875, 1868, 809, -0.8110236, 832, 883, 795, 825, 840, 810, 759, 809, -0.8031496, 1975, 1047, 1770, 1044, 901, 870, 1882, 832, -0.8110236, 832, 883, 795, 825, 840, 810, 759, 809
21, -0.79527557, 985, 888, 1870, 1828, 1875, 985, 1809, 998, -0.79527557, 998, 937, 2287, 950, 1126, 966, 838, 1679, -0.8031496, 1837, 1869, 1803, 1711, 1703, 1695, 1643, 1679, -0.79527557, 985, 1977, 1066, 1778, 1719, 1765, 933, 1837, -0.8031496, 1837, 1869, 1803, 1711, 1703, 1695, 1643, 1679
22, -0.78740156, 2254, 2399, 1096, 1045, 1013, 2159, 932, 2194, -0.78740156, 2194, 2397, 621, 2294, 2242, 2294, 2516, 864, -0.79527557, 1072, 960, 1018, 943, 995, 869, 1038, 864, -0.78740156, 2254, 930, 2200, 1127, 1161, 923, 2567, 1072, -0.79527557, 1072, 960, 1018, 943, 995, 869, 1038, 864
23, -0.77952754, 862, 596, 2339, 2089, 2127, 792, 2318, 613, -0.77952754, 613, 863, 834, 824, 997, 761, 785, 2308, -0.78740156, 2334, 2269, 2236, 2269, 2360, 2334, 2484, 2308, -0.77952754, 862, 2316, 876, 2236, 2187, 2367, 783, 2334, -0.78740156, 2334, 2269, 2236, 2269, 2360, 2334, 2484, 2308
24, -0.77165353, 737, 924, 714, 707, 838, 796, 649, 812, -0.77165353, 812, 811, 1101, 851, 937, 844, 913, 631, -0.77952754, 712, 748, 1014, 855, 775, 830, 643, 631, -0.77165353, 737, 737, 831, 780, 775, 788, 817, 712, -0.77952754, 712, 748, 1014, 855, 775, 830, 643, 631
25, -0.7637795, 1084, 1350, 822, 926, 1081, 1334, 782, 1118, -0.7637795, 1118, 1091, 2205, 954, 963, 1071, 938, 838, -0.77165353, 805, 1028, 872, 1089, 892, 861, 880, 838, -0.7637795, 1084, 836, 1079, 913, 937, 956, 1184, 805, -0.77165353, 805, 1028, 872, 1089, 892, 861, 880, 838
26, -0.7559055, 2398, 2832, 1173, 1131, 1158, 2434, 1198, 2637, -0.7559055, 2637, 2580, 958, 2745, 2471, 2271, 2726, 1020, -0.7637795, 974, 1102, 1202, 935, 1151, 1021, 962, 1020, -0.7559055, 2398, 1273, 2418, 968, 1181, 1095, 2575, 974, -0.7637795, 974, 1102, 1202, 935, 1151, 1021, 962, 1020
27, -0.7480315, 781, 920, 2120, 2478, 2454, 1109, 2305, 939, -0.7480315, 939, 1051, 1006, 964, 1189, 1140, 1050, 2575, -0.7559055, 2664, 2874, 2469, 2443, 2498, 2395, 2702, 2575, -0.7480315, 781, 2774, 993, 2581, 2273, 2331, 1181, 2664, -0.7559055, 2664, 2874, 2469, 2443, 2498, 2395, 2702, 2575
28, -0.7401575, 688, 1037, 1223, 1342, 1195, 1123, 1094, 950, -0.7401575, 950, 931, 1350, 940, 881, 1111, 938, 892, -0.7480315, 980, 1061, 1121, 1038, 1068, 1011, 1232, 892, -0.7401575, 688, 1170, 885, 929, 1036, 1136, 925, 980, -0.7480315, 980, 1061, 1121, 1038, 1068, 1011, 1232, 892
